F-At1,F-At2,F-At3,F-At4,F-At5,F-At6,F-At7,F-At8,F-At9,F-At10,F-At11,F-At12,F-At13,F-At14,F-At15,F-At16,A-Actual,Predicted,P-L8,P-L2,P-L1,P-L4,P-L6,P-L0,P-L5,P-L9,P-L7,P-L3,pred_nb,pred_3nn,pred2_nn
40.0,99.0,51.0,66.0,79.0,26.0,39.0,0.0,0.0,27.0,8.0,77.0,46.0,100.0,100.0,94.0,L5,L8,0.42,0.159,0.0,0.001,0.004,0.001,0.401,0.0,0.013999999999999999,0.0,L5,L5,L5
0.0,98.0,36.0,100.0,80.0,85.0,68.0,42.0,56.0,0.0,25.0,23.0,50.0,37.0,100.0,32.0,L7,L2,0.004,0.6970000000000001,0.012,0.009000000000000001,0.0,0.0,0.053,0.0,0.21899999999999997,0.006,L8,L1,L2
27.0,76.0,1.0,42.0,16.0,0.0,70.0,3.0,100.0,40.0,92.0,84.0,44.0,100.0,0.0,73.0,L0,L0,0.006999999999999999,0.0,0.0,0.005,0.003,0.966,0.01,0.0,0.009000000000000001,0.0,L0,L0,L0
0.0,0.0,31.0,15.0,63.0,30.0,88.0,52.0,100.0,79.0,82.0,100.0,56.0,82.0,79.0,64.0,L9,L1,0.027000000000000003,0.0,0.883,0.0,0.0,0.032,0.03,0.021,0.006,0.0,L8,L0,L0
30.0,86.0,67.0,100.0,77.0,77.0,53.0,50.0,78.0,40.0,100.0,17.0,56.0,0.0,0.0,5.0,L3,L3,0.0,0.005,0.0,0.006999999999999999,0.006,0.0,0.0,0.001,0.023,0.9570000000000001,L3,L3,L3
29.0,91.0,14.0,57.0,66.0,39.0,30.0,0.0,0.0,19.0,3.0,72.0,39.0,97.0,100.0,100.0,L5,L5,0.077,0.055,0.0,0.003,0.002,0.006999999999999999,0.843,0.0,0.013000000000000001,0.0,L5,L5,L5
77.0,97.0,40.0,100.0,0.0,59.0,9.0,29.0,84.0,33.0,100.0,64.0,77.0,44.0,48.0,0.0,L4,L4,0.005,0.035,0.0,0.833,0.096,0.006,0.0,0.024,0.0,0.001,L4,L9,L4
64.0,93.0,0.0,67.0,97.0,67.0,89.0,100.0,14.0,70.0,100.0,68.0,96.0,36.0,28.0,0.0,L9,L2,0.001,0.9059999999999999,0.0,0.016,0.06,0.0,0.002,0.001,0.0,0.013000000000000001,L8,L3,L3
9.0,93.0,53.0,100.0,89.0,80.0,57.0,52.0,17.0,30.0,0.0,5.0,50.0,2.0,100.0,0.0,L2,L2,0.001,0.9420000000000001,0.01,0.002,0.0,0.0,0.005,0.0,0.021,0.019,L2,L2,L1
0.0,93.0,62.0,100.0,100.0,78.0,69.0,43.0,50.0,5.0,35.0,0.0,15.0,35.0,86.0,37.0,L7,L7,0.001,0.023,0.006999999999999999,0.0,0.0,0.0,0.016,0.0,0.946,0.006,L8,L7,L7
30.0,87.0,16.0,55.0,68.0,41.0,52.0,0.0,0.0,16.0,15.0,63.0,41.0,100.0,100.0,98.0,L5,L5,0.11199999999999999,0.079,0.0,0.002,0.002,0.006,0.779,0.0,0.02,0.0,L8,L5,L5
60.0,100.0,20.0,76.0,0.0,39.0,10.0,1.0,69.0,0.0,100.0,33.0,56.0,40.0,15.0,10.0,L6,L6,0.001,0.002,0.0,0.045,0.924,0.017,0.004,0.0,0.003,0.004,L6,L6,L6
0.0,83.0,29.0,100.0,88.0,95.0,64.0,69.0,73.0,43.0,100.0,13.0,50.0,1.0,10.0,0.0,L3,L3,0.0,0.004,0.001,0.004,0.001,0.0,0.0,0.0,0.012,0.977,L1,L3,L3
5.0,90.0,46.0,98.0,89.0,100.0,100.0,81.0,77.0,59.0,62.0,34.0,37.0,14.0,0.0,0.0,L3,L3,0.0,0.011000000000000001,0.006999999999999999,0.006,0.001,0.0,0.0,0.0,0.019,0.956,L3,L3,L3
100.0,99.0,67.0,100.0,24.0,68.0,0.0,32.0,27.0,0.0,99.0,8.0,77.0,40.0,9.0,55.0,L6,L6,0.022000000000000002,0.002,0.0,0.0,0.91,0.002,0.0,0.002,0.061,0.0,L6,L6,L6
47.0,86.0,73.0,100.0,89.0,75.0,68.0,49.0,100.0,28.0,82.0,4.0,38.0,0.0,0.0,13.0,L3,L3,0.0,0.005,0.001,0.003,0.006,0.0,0.0,0.001,0.131,0.852,L3,L3,L3
29.0,72.0,45.0,100.0,78.0,78.0,60.0,41.0,25.0,12.0,0.0,4.0,50.0,6.0,100.0,0.0,L2,L2,0.002,0.924,0.038,0.0,0.0,0.0,0.005,0.0,0.027999999999999997,0.002,L2,L2,L1
1.0,88.0,0.0,54.0,59.0,31.0,36.0,0.0,11.0,28.0,4.0,68.0,28.0,97.0,100.0,100.0,L5,L5,0.02,0.021,0.001,0.002,0.001,0.017,0.925,0.0,0.013000000000000001,0.0,L5,L5,L5
63.0,100.0,40.0,73.0,70.0,63.0,100.0,77.0,79.0,74.0,55.0,48.0,29.0,23.0,0.0,0.0,L4,L3,0.0,0.132,0.0,0.107,0.006999999999999999,0.0,0.0,0.013999999999999999,0.004,0.736,L3,L3,L3
11.0,92.0,56.0,100.0,83.0,82.0,52.0,59.0,87.0,39.0,100.0,14.0,55.0,0.0,0.0,0.0,L3,L3,0.0,0.003,0.001,0.006,0.002,0.0,0.0,0.0,0.015,0.971,L3,L3,L3
51.0,76.0,68.0,91.0,100.0,100.0,83.0,80.0,59.0,60.0,34.0,40.0,10.0,20.0,0.0,0.0,L1,L1,0.001,0.026000000000000002,0.8390000000000001,0.001,0.001,0.0,0.0,0.02,0.085,0.027000000000000003,L3,L1,L1
56.0,99.0,18.0,72.0,0.0,24.0,36.0,0.0,85.0,23.0,100.0,69.0,58.0,100.0,19.0,74.0,L0,L0,0.027000000000000003,0.0,0.0,0.012,0.02,0.919,0.013000000000000001,0.001,0.008,0.0,L0,L0,L0
0.0,75.0,47.0,87.0,100.0,100.0,91.0,80.0,72.0,60.0,53.0,40.0,35.0,20.0,19.0,0.0,L1,L3,0.0,0.006,0.45399999999999996,0.004,0.0,0.0,0.004,0.0,0.009000000000000001,0.523,L1,L3,L3
41.0,96.0,17.0,76.0,50.0,37.0,31.0,0.0,0.0,34.0,1.0,86.0,49.0,98.0,100.0,100.0,L5,L5,0.44,0.08199999999999999,0.0,0.004,0.006,0.003,0.461,0.0,0.004,0.0,L5,L5,L5
20.0,82.0,62.0,100.0,100.0,81.0,68.0,54.0,82.0,50.0,89.0,19.0,42.0,0.0,0.0,13.0,L3,L3,0.0,0.004,0.001,0.003,0.001,0.0,0.0,0.0,0.032,0.958,L3,L3,L3
12.0,78.0,40.0,100.0,74.0,77.0,52.0,41.0,13.0,14.0,0.0,17.0,50.0,8.0,100.0,0.0,L2,L2,0.002,0.9570000000000001,0.006,0.002,0.002,0.0,0.015,0.0,0.013000000000000001,0.003,L2,L2,L2
18.0,73.0,0.0,73.0,10.0,24.0,54.0,0.0,100.0,22.0,95.0,71.0,52.0,100.0,5.0,84.0,L0,L0,0.006,0.0,0.0,0.005,0.003,0.971,0.006,0.0,0.008,0.0,L0,L0,L0
57.0,63.0,100.0,100.0,0.0,91.0,36.0,53.0,95.0,16.0,2.0,0.0,5.0,36.0,91.0,67.0,L8,L1,0.071,0.0,0.754,0.0,0.0,0.003,0.002,0.013000000000000001,0.156,0.0,L8,L8,L8
0.0,84.0,50.0,100.0,72.0,79.0,37.0,52.0,51.0,41.0,100.0,27.0,62.0,3.0,3.0,0.0,L3,L3,0.0,0.003,0.001,0.006999999999999999,0.004,0.0,0.0,0.0,0.009000000000000001,0.976,L1,L3,L3
0.0,100.0,61.0,100.0,100.0,93.0,63.0,64.0,36.0,33.0,14.0,0.0,9.0,29.0,47.0,42.0,L7,L7,0.0,0.028999999999999998,0.016,0.0,0.0,0.0,0.01,0.0,0.898,0.045,L8,L7,L7
100.0,79.0,67.0,100.0,26.0,76.0,41.0,38.0,47.0,0.0,0.0,8.0,38.0,38.0,96.0,58.0,L8,L8,0.8140000000000001,0.011000000000000001,0.003,0.0,0.048,0.0,0.011000000000000001,0.004,0.10800000000000001,0.0,L8,L8,L8
37.0,91.0,84.0,100.0,100.0,96.0,52.0,87.0,32.0,57.0,74.0,38.0,41.0,1.0,0.0,0.0,L5,L3,0.0,0.084,0.01,0.001,0.016,0.0,0.0,0.027999999999999997,0.09,0.77,L3,L5,L5
100.0,100.0,58.0,83.0,31.0,55.0,17.0,24.0,43.0,0.0,80.0,19.0,50.0,43.0,0.0,39.0,L6,L6,0.006999999999999999,0.006999999999999999,0.0,0.001,0.9420000000000001,0.003,0.001,0.0,0.039,0.0,L6,L6,L6
94.0,79.0,40.0,100.0,13.0,65.0,59.0,30.0,67.0,0.0,0.0,17.0,45.0,52.0,100.0,83.0,L8,L8,0.929,0.001,0.001,0.0,0.001,0.011000000000000001,0.01,0.02,0.027000000000000003,0.0,L8,L8,L8
0.0,82.0,75.0,56.0,100.0,12.0,22.0,0.0,22.0,41.0,92.0,73.0,84.0,100.0,2.0,80.0,L8,L0,0.004,0.0,0.0,0.0,0.003,0.605,0.19699999999999998,0.0,0.19,0.0,L8,L0,L0
80.0,100.0,36.0,100.0,58.0,80.0,65.0,82.0,82.0,47.0,100.0,14.0,53.0,0.0,0.0,7.0,L9,L3,0.0,0.013999999999999999,0.0,0.055,0.071,0.001,0.0,0.031,0.009000000000000001,0.8190000000000001,L3,L5,L5
35.0,76.0,0.0,42.0,11.0,0.0,65.0,5.0,100.0,41.0,97.0,85.0,49.0,100.0,9.0,69.0,L0,L0,0.011000000000000001,0.0,0.0,0.012,0.003,0.9590000000000001,0.011000000000000001,0.0,0.004,0.0,L0,L0,L0
34.0,100.0,21.0,76.0,0.0,35.0,43.0,30.0,91.0,29.0,100.0,41.0,74.0,46.0,67.0,0.0,L4,L4,0.001,0.004,0.0,0.951,0.017,0.022000000000000002,0.001,0.001,0.0,0.003,L4,L4,L4
0.0,75.0,31.0,72.0,67.0,84.0,100.0,100.0,94.0,82.0,80.0,54.0,68.0,27.0,56.0,0.0,L1,L1,0.0,0.012,0.7020000000000001,0.168,0.0,0.004,0.012,0.006,0.0,0.095,L1,L1,L1
90.0,71.0,100.0,100.0,25.0,85.0,10.0,50.0,80.0,62.0,99.0,53.0,64.0,17.0,0.0,0.0,L9,L9,0.002,0.0,0.18600000000000003,0.006999999999999999,0.001,0.002,0.0,0.799,0.002,0.001,L3,L9,L5
0.0,97.0,42.0,100.0,67.0,71.0,53.0,35.0,34.0,0.0,16.0,23.0,40.0,42.0,100.0,42.0,L7,L2,0.013999999999999999,0.444,0.002,0.002,0.006999999999999999,0.0,0.207,0.0,0.32299999999999995,0.0,L8,L2,L1
38.0,94.0,4.0,63.0,0.0,20.0,41.0,0.0,84.0,19.0,100.0,60.0,77.0,98.0,32.0,100.0,L0,L0,0.006,0.0,0.0,0.005,0.006,0.968,0.009000000000000001,0.0,0.006,0.0,L0,L0,L0
72.0,100.0,38.0,88.0,2.0,57.0,0.0,19.0,51.0,0.0,100.0,20.0,55.0,34.0,12.0,7.0,L6,L6,0.001,0.009000000000000001,0.0,0.019,0.9540000000000001,0.005,0.002,0.0,0.006,0.004,L6,L6,L6
26.0,79.0,69.0,100.0,92.0,85.0,56.0,56.0,90.0,42.0,100.0,15.0,51.0,0.0,0.0,2.0,L3,L3,0.0,0.003,0.002,0.005,0.002,0.0,0.0,0.001,0.026000000000000002,0.961,L3,L3,L3
8.0,77.0,47.0,100.0,100.0,96.0,71.0,66.0,100.0,46.0,99.0,13.0,46.0,0.0,0.0,13.0,L3,L3,0.0,0.001,0.004,0.004,0.001,0.001,0.0,0.0,0.018000000000000002,0.971,L3,L3,L3
31.0,73.0,55.0,100.0,55.0,53.0,33.0,14.0,0.0,0.0,30.0,11.0,65.0,1.0,100.0,1.0,L2,L2,0.003,0.937,0.001,0.0,0.024,0.0,0.013999999999999999,0.0,0.02,0.0,L2,L2,L2
46.0,100.0,21.0,85.0,0.0,60.0,24.0,42.0,68.0,44.0,100.0,49.0,76.0,25.0,58.0,0.0,L4,L4,0.001,0.065,0.0,0.861,0.064,0.002,0.0,0.002,0.0,0.005,L4,L4,L4
32.0,100.0,12.0,76.0,0.0,48.0,1.0,21.0,39.0,0.0,100.0,9.0,64.0,21.0,18.0,3.0,L6,L6,0.0,0.006999999999999999,0.0,0.01,0.877,0.006,0.005,0.0,0.012,0.084,L6,L6,L6
16.0,90.0,9.0,61.0,50.0,35.0,23.0,0.0,5.0,35.0,0.0,81.0,48.0,97.0,100.0,100.0,L5,L5,0.055,0.021,0.0,0.006999999999999999,0.001,0.017,0.894,0.0,0.004,0.0,L5,L5,L5
21.0,88.0,0.0,57.0,88.0,58.0,88.0,18.0,15.0,0.0,8.0,42.0,12.0,83.0,100.0,100.0,L5,L5,0.053,0.083,0.0,0.0,0.002,0.003,0.7759999999999999,0.0,0.08199999999999999,0.0,L8,L5,L5
0.0,100.0,54.0,98.0,91.0,85.0,71.0,52.0,62.0,17.0,74.0,0.0,100.0,32.0,42.0,37.0,L7,L3,0.0,0.004,0.001,0.0,0.0,0.0,0.001,0.0,0.14800000000000002,0.845,L8,L3,L3
47.0,93.0,1.0,67.0,0.0,16.0,53.0,0.0,100.0,32.0,95.0,81.0,42.0,100.0,7.0,62.0,L0,L0,0.021,0.0,0.0,0.025,0.006999999999999999,0.929,0.013000000000000001,0.001,0.003,0.0,L0,L0,L0
38.0,51.0,8.0,66.0,0.0,19.0,42.0,0.0,87.0,26.0,100.0,71.0,61.0,100.0,16.0,84.0,L0,L0,0.017,0.0,0.0,0.01,0.003,0.956,0.006999999999999999,0.001,0.006,0.0,L0,L0,L0
95.0,92.0,50.0,100.0,21.0,77.0,74.0,87.0,100.0,86.0,69.0,56.0,37.0,26.0,0.0,0.0,L9,L9,0.01,0.006999999999999999,0.009000000000000001,0.03,0.001,0.001,0.0,0.941,0.001,0.001,L9,L9,L9
18.0,88.0,2.0,54.0,40.0,25.0,2.0,0.0,0.0,30.0,20.0,70.0,45.0,100.0,100.0,93.0,L5,L5,0.034,0.013000000000000001,0.0,0.006999999999999999,0.002,0.023,0.919,0.0,0.002,0.0,L5,L5,L5
39.0,100.0,23.0,82.0,0.0,52.0,1.0,21.0,48.0,0.0,100.0,16.0,70.0,42.0,6.0,55.0,L6,L6,0.0,0.0,0.0,0.017,0.861,0.10800000000000001,0.005,0.0,0.002,0.006999999999999999,L6,L6,L6
22.0,100.0,1.0,66.0,0.0,33.0,50.0,32.0,100.0,36.0,82.0,63.0,77.0,30.0,71.0,0.0,L4,L4,0.0,0.004,0.001,0.9620000000000001,0.002,0.017,0.003,0.001,0.0,0.009000000000000001,L4,L4,L4
3.0,96.0,53.0,100.0,81.0,68.0,83.0,28.0,72.0,0.0,100.0,34.0,51.0,41.0,0.0,43.0,L7,L7,0.001,0.0,0.0,0.0,0.027000000000000003,0.083,0.002,0.0,0.838,0.049,L8,L3,L7
0.0,65.0,38.0,79.0,62.0,100.0,72.0,86.0,77.0,65.0,79.0,43.0,83.0,21.0,100.0,0.0,L1,L1,0.001,0.019,0.9440000000000001,0.02,0.0,0.0,0.006999999999999999,0.008,0.0,0.001,L1,L1,L1
19.0,81.0,0.0,41.0,12.0,0.0,54.0,1.0,88.0,29.0,100.0,71.0,72.0,100.0,31.0,91.0,L0,L0,0.005,0.0,0.0,0.003,0.003,0.968,0.012,0.0,0.009000000000000001,0.0,L0,L0,L0
0.0,60.0,38.0,80.0,80.0,100.0,100.0,92.0,80.0,69.0,65.0,46.0,55.0,23.0,55.0,0.0,L1,L1,0.0,0.02,0.9490000000000001,0.01,0.0,0.0,0.009000000000000001,0.004,0.001,0.006,L1,L1,L1
40.0,72.0,16.0,50.0,96.0,69.0,70.0,100.0,0.0,73.0,65.0,57.0,100.0,47.0,94.0,0.0,L9,L2,0.001,0.986,0.002,0.0,0.0,0.0,0.009000000000000001,0.0,0.0,0.0,L8,L1,L1
100.0,100.0,63.0,78.0,28.0,53.0,0.0,27.0,4.0,0.0,60.0,1.0,78.0,22.0,24.0,21.0,L6,L6,0.005,0.022000000000000002,0.0,0.0,0.958,0.0,0.001,0.0,0.013000000000000001,0.0,L6,L6,L6
33.0,58.0,19.0,90.0,78.0,100.0,91.0,62.0,51.0,28.0,0.0,2.0,37.0,1.0,100.0,0.0,L2,L1,0.002,0.426,0.557,0.001,0.0,0.0,0.002,0.004,0.008,0.001,L1,L1,L2
14.0,91.0,9.0,52.0,28.0,10.0,74.0,0.0,100.0,38.0,86.0,81.0,43.0,100.0,0.0,80.0,L0,L0,0.004,0.0,0.0,0.003,0.003,0.9670000000000001,0.01,0.0,0.013999999999999999,0.0,L0,L0,L0
9.0,100.0,0.0,66.0,20.0,25.0,61.0,0.0,100.0,21.0,93.0,64.0,54.0,91.0,9.0,76.0,L0,L0,0.002,0.0,0.0,0.002,0.004,0.97,0.008,0.0,0.013000000000000001,0.0,L0,L0,L0
42.0,83.0,60.0,53.0,89.0,11.0,13.0,0.0,0.0,33.0,77.0,57.0,100.0,92.0,18.0,100.0,L8,L0,0.043,0.0,0.0,0.0,0.027999999999999997,0.542,0.115,0.0,0.272,0.0,L8,L8,L8
38.0,94.0,90.0,100.0,94.0,79.0,59.0,57.0,68.0,33.0,100.0,12.0,54.0,0.0,0.0,1.0,L3,L3,0.0,0.011000000000000001,0.0,0.003,0.006999999999999999,0.0,0.0,0.002,0.051,0.9259999999999999,L3,L3,L3
22.0,55.0,10.0,60.0,0.0,18.0,46.0,0.0,89.0,28.0,100.0,70.0,68.0,100.0,29.0,69.0,L0,L0,0.016,0.0,0.0,0.013000000000000001,0.002,0.956,0.008,0.001,0.005,0.0,L0,L0,L0
27.0,100.0,0.0,58.0,12.0,5.0,62.0,0.0,100.0,39.0,97.0,91.0,48.0,97.0,18.0,53.0,L0,L0,0.012,0.0,0.0,0.044000000000000004,0.004,0.919,0.019,0.0,0.001,0.0,L0,L0,L0
43.0,94.0,15.0,66.0,52.0,38.0,20.0,0.0,5.0,35.0,0.0,83.0,42.0,100.0,100.0,98.0,L5,L5,0.265,0.034,0.0,0.009000000000000001,0.004,0.006,0.6779999999999999,0.0,0.003,0.0,L5,L5,L5
0.0,87.0,37.0,100.0,19.0,70.0,5.0,42.0,88.0,49.0,100.0,58.0,84.0,28.0,88.0,0.0,L4,L4,0.0,0.002,0.015,0.937,0.001,0.009000000000000001,0.002,0.006999999999999999,0.0,0.027999999999999997,L1,L4,L4
73.0,98.0,35.0,100.0,0.0,59.0,0.0,13.0,71.0,8.0,100.0,45.0,29.0,41.0,9.0,0.0,L6,L6,0.002,0.002,0.0,0.08800000000000001,0.888,0.013000000000000001,0.003,0.0,0.003,0.002,L6,L6,L6
15.0,73.0,0.0,34.0,30.0,0.0,81.0,1.0,100.0,38.0,87.0,78.0,44.0,100.0,16.0,68.0,L0,L0,0.005,0.0,0.0,0.001,0.001,0.9229999999999999,0.033,0.0,0.037000000000000005,0.0,L0,L0,L0
85.0,100.0,30.0,84.0,5.0,54.0,0.0,22.0,48.0,0.0,100.0,21.0,66.0,47.0,0.0,37.0,L6,L6,0.003,0.008,0.0,0.009000000000000001,0.961,0.006999999999999999,0.002,0.0,0.008,0.002,L6,L6,L6
0.0,88.0,24.0,68.0,76.0,33.0,43.0,0.0,29.0,32.0,84.0,66.0,100.0,100.0,8.0,89.0,L8,L0,0.006999999999999999,0.0,0.0,0.0,0.003,0.8170000000000001,0.084,0.0,0.08800000000000001,0.0,L8,L0,L0
50.0,97.0,72.0,68.0,100.0,100.0,42.0,86.0,93.0,72.0,89.0,48.0,70.0,7.0,0.0,0.0,L9,L3,0.0,0.001,0.003,0.003,0.002,0.0,0.0,0.003,0.004,0.985,L3,L3,L5
42.0,100.0,9.0,79.0,0.0,46.0,48.0,31.0,100.0,46.0,89.0,52.0,46.0,30.0,19.0,0.0,L4,L4,0.0,0.001,0.001,0.932,0.036000000000000004,0.017,0.001,0.001,0.0,0.012,L4,L4,L4
7.0,100.0,0.0,56.0,51.0,37.0,39.0,0.0,9.0,15.0,5.0,62.0,42.0,92.0,100.0,96.0,L5,L5,0.027999999999999997,0.034,0.001,0.002,0.001,0.011000000000000001,0.907,0.0,0.016,0.0,L5,L5,L5
